year,country,region,avg_temperature_c,rainfall_mm,drought_index,flood_risk_score,heatwave_days,soil_moisture_percent,climate_risk_level
1996,South Korea,East Asia,16.62,1041.7,0.0,0.599,0,62.14,Moderate
1997,South Korea,East Asia,14.62,744.6,0.0,0.332,0,35.58,Low
1998,South Korea,East Asia,15.32,791.1,0.0,0.384,0,26.35,Low
1999,South Korea,East Asia,17.49,810.8,0.0,0.344,0,28.55,Low
2000,South Korea,East Asia,17.43,1162.7,0.0,0.491,12,58.34,Low
2001,South Korea,East Asia,16.25,444.1,0.016,0.247,2,25.57,Low
2002,South Korea,East Asia,15.52,889.3,0.0,0.343,0,46.72,Low
2003,South Korea,East Asia,15.52,761.6,0.0,0.348,0,39.09,Low
2004,South Korea,East Asia,16.33,870.7,0.0,0.356,0,50.51,Low
2005,South Korea,East Asia,17.57,674.8,0.073,0.381,6,29.05,Low
2006,South Korea,East Asia,17.92,772.2,0.131,0.53,0,41.37,Moderate
2007,South Korea,East Asia,16.23,893.8,0.0,0.343,1,34.9,Low
2008,South Korea,East Asia,15.46,1278.1,0.0,0.491,0,58.47,Low
2009,South Korea,East Asia,17.19,909.3,0.0,0.445,0,34.62,Low
2010,South Korea,East Asia,15.89,644.3,0.0,0.323,0,30.57,Low
2011,South Korea,East Asia,16.28,712.2,0.0,0.374,3,35.33,Low
2012,South Korea,East Asia,18.51,707.5,0.0,0.318,20,36.06,Low
2013,South Korea,East Asia,17.93,492.7,0.033,0.23,0,24.34,Low
2014,South Korea,East Asia,17.14,727.2,0.074,0.393,1,29.31,Low
2015,South Korea,East Asia,15.45,897.3,0.0,0.532,0,43.72,Moderate
2016,South Korea,East Asia,17.24,576.1,0.023,0.132,1,19.36,Low
2017,South Korea,East Asia,18.28,947.8,0.0,0.444,0,55.57,Low
2018,South Korea,East Asia,16.58,858.0,0.0,0.446,0,41.08,Low
2019,South Korea,East Asia,18.67,662.5,0.0,0.258,0,30.19,Low
2020,South Korea,East Asia,18.61,757.4,0.0,0.517,0,47.4,Moderate
2021,South Korea,East Asia,19.08,1035.7,0.0,0.467,0,44.33,Low
2022,South Korea,East Asia,17.46,897.4,0.0,0.445,1,38.11,Low
2023,South Korea,East Asia,17.82,781.4,0.0,0.435,5,32.49,Low
2024,South Korea,East Asia,18.83,742.0,0.018,0.324,5,36.33,Low
2025,South Korea,East Asia,17.69,792.3,0.0,0.248,10,42.2,Low
2026,South Korea,East Asia,16.57,698.1,0.0,0.315,0,39.34,Low
2027,South Korea,East Asia,16.65,443.2,0.033,0.304,0,36.92,Low
2028,South Korea,East Asia,17.49,1106.7,0.0,0.526,7,41.84,Moderate
2029,South Korea,East Asia,15.68,804.9,0.0,0.335,0,43.9,Low
2030,South Korea,East Asia,17.07,843.7,0.0,0.496,2,38.84,Low
2031,South Korea,East Asia,18.58,770.7,0.0,0.359,12,35.02,Low
2032,South Korea,East Asia,14.65,662.4,0.062,0.29,0,28.15,Low
2033,South Korea,East Asia,19.14,750.3,0.018,0.387,0,31.7,Low
2034,South Korea,East Asia,18.66,524.1,0.046,0.324,0,35.39,Low
2035,South Korea,East Asia,16.78,1144.3,0.0,0.763,4,62.27,Moderate
2036,South Korea,East Asia,18.0,582.5,0.126,0.357,0,26.75,Low
2037,South Korea,East Asia,17.37,614.9,0.163,0.4,0,35.59,Moderate
2038,South Korea,East Asia,18.86,709.6,0.0,0.314,6,26.4,Low
2039,South Korea,East Asia,18.58,986.1,0.0,0.411,5,41.32,Low
2040,South Korea,East Asia,15.74,782.3,0.0,0.396,0,26.05,Low
2041,South Korea,East Asia,18.14,582.2,0.0,0.3,0,24.91,Low
2042,South Korea,East Asia,17.21,980.7,0.0,0.404,0,50.0,Low
2043,South Korea,East Asia,17.58,897.0,0.0,0.434,3,45.47,Low
2044,South Korea,East Asia,16.62,866.1,0.0,0.465,0,44.2,Low
2045,South Korea,East Asia,19.61,894.5,0.0,0.476,0,36.26,Low
2046,South Korea,East Asia,18.78,1163.1,0.0,0.622,8,62.97,Moderate
2047,South Korea,East Asia,16.66,1129.6,0.0,0.588,0,57.92,Moderate
2048,South Korea,East Asia,15.96,670.1,0.0,0.295,0,37.9,Low
2049,South Korea,East Asia,17.12,1039.8,0.0,0.479,0,40.63,Low
2050,South Korea,East Asia,18.12,841.3,0.0,0.325,0,43.93,Low
1961,North Korea,East Asia,14.57,714.2,0.0,0.557,0,37.17,Moderate
1962,North Korea,East Asia,15.54,943.5,0.0,0.475,0,44.35,Low
1963,North Korea,East Asia,16.68,719.4,0.051,0.308,0,38.61,Low
1964,North Korea,East Asia,16.16,1113.2,0.0,0.783,0,49.79,Moderate
1965,North Korea,East Asia,15.05,848.9,0.0,0.319,0,34.16,Low
1966,North Korea,East Asia,16.1,575.9,0.0,0.29,0,18.01,Low
1967,North Korea,East Asia,14.27,759.4,0.0,0.394,0,24.63,Low
1968,North Korea,East Asia,17.51,675.7,0.0,0.445,0,30.68,Low
1969,North Korea,East Asia,15.9,428.9,0.183,0.243,0,15.97,Low
1970,North Korea,East Asia,17.5,1035.9,0.0,0.478,0,48.01,Low
1971,North Korea,East Asia,15.55,892.5,0.0,0.37,5,52.09,Low
1972,North Korea,East Asia,15.57,865.3,0.0,0.405,0,50.63,Low
1973,North Korea,East Asia,15.3,806.5,0.0,0.323,0,38.31,Low
1974,North Korea,East Asia,17.29,558.9,0.096,0.283,0,15.27,Low
1975,North Korea,East Asia,15.4,702.6,0.0,0.306,0,31.73,Low
1976,North Korea,East Asia,17.04,914.7,0.0,0.338,0,42.14,Low
1977,North Korea,East Asia,15.83,611.8,0.0,0.406,0,26.65,Low
1978,North Korea,East Asia,13.93,374.9,0.007,0.148,0,14.42,Low
1979,North Korea,East Asia,15.64,743.7,0.0,0.27,0,33.26,Low
1980,North Korea,East Asia,14.93,757.3,0.0,0.365,0,35.55,Low
1981,North Korea,East Asia,16.4,801.7,0.0,0.406,0,36.27,Low
1982,North Korea,East Asia,14.95,896.6,0.0,0.309,0,46.08,Low
1983,North Korea,East Asia,17.51,882.0,0.0,0.468,0,46.26,Low
1984,North Korea,East Asia,16.3,821.4,0.0,0.327,9,35.61,Low
1985,North Korea,East Asia,16.22,971.3,0.0,0.623,0,56.19,Moderate
1986,North Korea,East Asia,17.24,537.0,0.096,0.31,0,19.05,Low
1987,North Korea,East Asia,17.62,860.7,0.0,0.398,0,33.33,Low
1988,North Korea,East Asia,16.46,880.2,0.0,0.381,8,46.3,Low
1989,North Korea,East Asia,15.58,581.7,0.035,0.282,0,23.47,Low
1990,North Korea,East Asia,14.39,539.5,0.0,0.319,0,28.9,Low
1991,North Korea,East Asia,15.72,660.6,0.0,0.328,0,18.61,Low
1992,North Korea,East Asia,15.82,674.2,0.051,0.32,0,41.05,Low
1993,North Korea,East Asia,16.7,900.5,0.0,0.455,0,49.06,Low
1994,North Korea,East Asia,16.18,681.7,0.0,0.293,0,25.08,Low
1995,North Korea,East Asia,17.44,643.0,0.0,0.294,0,23.28,Low
1996,North Korea,East Asia,15.89,682.1,0.0,0.174,0,44.14,Low
1997,North Korea,East Asia,16.58,959.0,0.0,0.557,18,43.52,Moderate
1998,North Korea,East Asia,18.09,782.1,0.0,0.415,0,34.1,Low
1999,North Korea,East Asia,17.09,751.3,0.0,0.314,0,23.97,Low
2000,North Korea,East Asia,16.63,762.4,0.0,0.533,0,36.02,Moderate
2001,North Korea,East Asia,16.0,986.7,0.0,0.5,0,47.97,Low
2002,North Korea,East Asia,15.98,660.1,0.0,0.247,0,37.3,Low
2003,North Korea,East Asia,15.74,990.5,0.0,0.564,0,41.13,Moderate
2004,North Korea,East Asia,16.12,813.7,0.0,0.439,6,31.56,Low
2005,North Korea,East Asia,17.7,754.3,0.083,0.409,6,38.75,Low
2006,North Korea,East Asia,16.54,1180.1,0.0,0.556,0,65.05,Moderate
2007,North Korea,East Asia,15.21,611.1,0.0,0.342,0,21.13,Low
2008,North Korea,East Asia,18.97,723.4,0.108,0.341,0,40.5,Low
2009,North Korea,East Asia,17.25,582.8,0.0,0.336,17,29.37,Low
2010,North Korea,East Asia,15.19,932.4,0.0,0.314,0,53.17,Low
2011,North Korea,East Asia,16.37,1050.3,0.0,0.49,1,52.09,Low
2012,North Korea,East Asia,17.05,1047.2,0.0,0.661,6,37.23,Moderate
2013,North Korea,East Asia,18.98,975.8,0.0,0.427,2,47.88,Low
2014,North Korea,East Asia,15.62,748.4,0.0,0.326,0,43.78,Low
2015,North Korea,East Asia,18.14,721.6,0.0,0.325,0,30.72,Low
2016,North Korea,East Asia,18.67,512.6,0.224,0.159,5,18.83,Low
2017,North Korea,East Asia,16.25,1105.7,0.0,0.376,0,54.23,Low
2018,North Korea,East Asia,16.69,855.0,0.0,0.409,0,25.35,Low
2019,North Korea,East Asia,15.8,701.3,0.0,0.362,0,45.09,Low
2020,North Korea,East Asia,16.82,992.5,0.0,0.492,0,44.22,Low
2021,North Korea,East Asia,17.04,624.4,0.069,0.301,0,32.88,Low
2022,North Korea,East Asia,17.89,845.1,0.0,0.426,0,41.73,Low
2023,North Korea,East Asia,18.42,752.4,0.0,0.458,0,45.16,Low
2024,North Korea,East Asia,16.24,882.2,0.0,0.426,2,46.55,Low
2025,North Korea,East Asia,14.79,769.8,0.0,0.339,0,37.08,Low
2026,North Korea,East Asia,17.14,547.9,0.0,0.251,0,22.03,Low
2027,North Korea,East Asia,17.54,792.1,0.0,0.442,0,44.39,Low
2028,North Korea,East Asia,17.51,947.8,0.0,0.587,0,36.15,Moderate
2029,North Korea,East Asia,16.83,775.3,0.004,0.337,0,42.57,Low
2030,North Korea,East Asia,17.39,904.0,0.0,0.46,7,38.61,Low
2031,North Korea,East Asia,19.08,612.7,0.102,0.333,0,36.11,Low
2032,North Korea,East Asia,17.74,775.8,0.0,0.308,0,39.76,Low
2033,North Korea,East Asia,16.85,680.1,0.0,0.342,0,37.87,Low
2034,North Korea,East Asia,16.71,899.5,0.0,0.333,0,45.47,Low
2035,North Korea,East Asia,17.13,785.0,0.0,0.251,0,28.74,Low
2036,North Korea,East Asia,19.31,890.4,0.0,0.475,0,39.36,Low
2037,North Korea,East Asia,17.15,954.0,0.0,0.446,0,51.74,Low
2038,North Korea,East Asia,17.36,890.7,0.0,0.462,7,45.53,Low
2039,North Korea,East Asia,16.83,823.7,0.0,0.41,0,48.27,Low
2040,North Korea,East Asia,18.74,620.3,0.04,0.232,0,32.63,Low
2041,North Korea,East Asia,19.79,779.6,0.028,0.386,6,32.61,Low
2042,North Korea,East Asia,18.0,694.7,0.0,0.249,0,29.96,Low
2043,North Korea,East Asia,17.58,724.9,0.0,0.474,0,36.86,Low
2044,North Korea,East Asia,17.54,720.1,0.0,0.252,0,22.12,Low
2045,North Korea,East Asia,14.65,623.2,0.0,0.296,0,41.2,Low
2046,North Korea,East Asia,18.42,466.8,0.073,0.15,0,24.53,Low
2047,North Korea,East Asia,17.71,673.1,0.06,0.382,20,39.81,Low
2048,North Korea,East Asia,18.08,810.9,0.0,0.379,0,31.06,Low
2049,North Korea,East Asia,16.73,564.3,0.0,0.241,0,35.68,Low
2050,North Korea,East Asia,17.14,782.5,0.005,0.46,0,52.42,Low
1961,Mongolia,East Asia,14.41,518.6,0.0,0.338,0,14.28,Low
1962,Mongolia,East Asia,16.94,712.0,0.0,0.366,0,35.58,Low
1963,Mongolia,East Asia,16.04,860.4,0.0,0.392,0,33.48,Low
1964,Mongolia,East Asia,14.2,637.5,0.0,0.214,0,27.89,Low
1965,Mongolia,East Asia,16.66,551.7,0.162,0.204,0,18.94,Low
1966,Mongolia,East Asia,17.09,791.1,0.0,0.264,3,44.41,Low
1967,Mongolia,East Asia,15.39,918.0,0.0,0.46,0,46.6,Low
1968,Mongolia,East Asia,17.53,508.8,0.233,0.159,3,13.07,Low
1969,Mongolia,East Asia,14.14,911.2,0.0,0.434,0,50.84,Low
1970,Mongolia,East Asia,14.37,910.8,0.0,0.565,0,36.94,Moderate
1971,Mongolia,East Asia,16.34,932.7,0.0,0.562,0,48.61,Moderate
1972,Mongolia,East Asia,16.23,975.0,0.0,0.485,2,43.86,Low
1973,Mongolia,East Asia,15.36,1132.3,0.0,0.559,0,54.42,Moderate
1974,Mongolia,East Asia,17.21,723.0,0.0,0.512,0,39.18,Moderate
1975,Mongolia,East Asia,16.89,797.5,0.0,0.44,3,43.01,Low
1976,Mongolia,East Asia,17.3,713.4,0.0,0.33,1,43.69,Low
1977,Mongolia,East Asia,16.14,780.3,0.0,0.276,11,38.52,Low
1978,Mongolia,East Asia,17.03,1025.3,0.0,0.544,0,53.1,Moderate
1979,Mongolia,East Asia,15.79,564.8,0.0,0.349,0,25.61,Low
1980,Mongolia,East Asia,18.81,642.2,0.158,0.271,0,30.04,Low
1981,Mongolia,East Asia,15.38,1000.3,0.0,0.523,0,52.65,Moderate
1982,Mongolia,East Asia,18.9,943.2,0.0,0.443,0,46.57,Low
1983,Mongolia,East Asia,16.44,721.9,0.0,0.346,0,25.27,Low
1984,Mongolia,East Asia,14.76,916.7,0.0,0.259,0,47.82,Low
1985,Mongolia,East Asia,18.07,834.6,0.0,0.4,0,43.92,Low
1986,Mongolia,East Asia,16.6,1020.0,0.0,0.588,0,46.92,Moderate
1987,Mongolia,East Asia,17.49,791.9,0.0,0.345,0,31.89,Low
1988,Mongolia,East Asia,17.95,944.1,0.0,0.476,2,56.06,Low
1989,Mongolia,East Asia,16.91,1202.7,0.0,0.541,5,63.08,Moderate
1990,Mongolia,East Asia,15.81,875.7,0.0,0.467,0,42.41,Low
1991,Mongolia,East Asia,17.71,787.9,0.074,0.377,7,31.09,Low
1992,Mongolia,East Asia,16.56,895.6,0.0,0.373,0,39.85,Low
1993,Mongolia,East Asia,17.4,721.6,0.0,0.467,0,43.89,Low
1994,Mongolia,East Asia,14.01,1162.1,0.0,0.655,0,58.93,Moderate
1995,Mongolia,East Asia,17.15,808.8,0.0,0.356,0,37.14,Low
1996,Mongolia,East Asia,15.86,736.3,0.0,0.408,0,39.87,Low
1997,Mongolia,East Asia,18.63,646.3,0.057,0.366,5,26.28,Low
1998,Mongolia,East Asia,17.41,955.6,0.0,0.529,0,56.78,Moderate
1999,Mongolia,East Asia,16.97,918.7,0.0,0.324,0,54.05,Low
2000,Mongolia,East Asia,17.29,700.4,0.0,0.431,0,32.22,Low
2001,Mongolia,East Asia,15.52,872.2,0.0,0.391,0,39.84,Low
2002,Mongolia,East Asia,18.69,538.6,0.219,0.241,0,6.84,Low
2003,Mongolia,East Asia,19.15,809.6,0.0,0.616,0,31.59,Moderate
2004,Mongolia,East Asia,17.25,852.4,0.0,0.45,0,34.59,Low
2005,Mongolia,East Asia,18.7,1053.2,0.0,0.496,0,53.47,Low
2006,Mongolia,East Asia,16.13,656.7,0.0,0.152,0,30.88,Low
2007,Mongolia,East Asia,15.87,575.5,0.073,0.399,0,19.23,Low
2008,Mongolia,East Asia,16.9,636.7,0.0,0.211,4,30.15,Low
2009,Mongolia,East Asia,17.39,566.1,0.052,0.203,0,30.3,Low
2010,Mongolia,East Asia,16.41,993.9,0.0,0.47,0,52.86,Low
2011,Mongolia,East Asia,17.55,1027.8,0.0,0.627,18,39.99,Moderate
2012,Mongolia,East Asia,17.29,831.2,0.0,0.477,0,40.79,Low
2013,Mongolia,East Asia,15.74,975.4,0.0,0.475,0,40.47,Low
2014,Mongolia,East Asia,17.58,801.4,0.0,0.425,2,45.48,Low
2015,Mongolia,East Asia,18.01,764.8,0.0,0.334,0,42.94,Low
2016,Mongolia,East Asia,17.2,726.7,0.0,0.375,0,30.95,Low
2017,Mongolia,East Asia,18.39,730.3,0.0,0.371,16,31.92,Low
2018,Mongolia,East Asia,15.57,532.4,0.0,0.344,0,23.85,Low
2019,Mongolia,East Asia,17.61,822.3,0.02,0.489,0,27.19,Moderate
2020,Mongolia,East Asia,15.66,773.5,0.0,0.426,0,40.69,Low
2021,Mongolia,East Asia,15.74,899.3,0.0,0.421,0,43.33,Low
2022,Mongolia,East Asia,16.34,795.0,0.0,0.457,2,45.57,Low
2023,Mongolia,East Asia,15.99,754.0,0.0,0.37,0,31.11,Low
2024,Mongolia,East Asia,16.48,640.6,0.122,0.234,0,25.87,Low
2025,Mongolia,East Asia,16.9,791.5,0.0,0.364,5,30.54,Low
2026,Mongolia,East Asia,18.17,898.1,0.0,0.456,12,38.88,Low
2027,Mongolia,East Asia,16.8,597.1,0.047,0.371,0,21.82,Low
2028,Mongolia,East Asia,15.3,794.0,0.0,0.382,0,45.68,Low
2029,Mongolia,East Asia,18.59,817.3,0.0,0.312,0,36.67,Low
2030,Mongolia,East Asia,16.24,665.1,0.039,0.337,0,33.22,Low
2031,Mongolia,East Asia,17.19,685.9,0.056,0.352,0,30.89,Low
2032,Mongolia,East Asia,17.81,816.9,0.0,0.423,0,33.23,Low
2033,Mongolia,East Asia,17.54,598.7,0.0,0.373,5,28.92,Low
2034,Mongolia,East Asia,18.63,836.0,0.011,0.5,10,45.18,Moderate
2035,Mongolia,East Asia,17.91,636.7,0.0,0.271,0,24.59,Low
2036,Mongolia,East Asia,16.32,950.1,0.0,0.426,1,52.36,Low
2037,Mongolia,East Asia,19.98,1154.1,0.0,0.494,6,52.6,Low
2038,Mongolia,East Asia,17.62,642.3,0.0,0.377,0,29.22,Low
2039,Mongolia,East Asia,17.23,865.5,0.0,0.549,2,46.46,Moderate
2040,Mongolia,East Asia,18.58,663.7,0.026,0.307,0,28.68,Low
2041,Mongolia,East Asia,17.74,946.6,0.0,0.454,13,47.55,Low
2042,Mongolia,East Asia,17.94,577.6,0.0,0.406,0,26.99,Low
2043,Mongolia,East Asia,20.47,856.9,0.195,0.469,1,39.73,Moderate
2044,Mongolia,East Asia,17.16,640.3,0.15,0.355,0,14.73,Moderate
2045,Mongolia,East Asia,17.13,746.9,0.0,0.278,0,26.37,Low
2046,Mongolia,East Asia,17.67,615.0,0.171,0.362,7,31.03,Moderate
2047,Mongolia,East Asia,18.83,911.6,0.0,0.381,0,51.8,Low
2048,Mongolia,East Asia,15.76,646.1,0.0,0.232,0,26.84,Low
2049,Mongolia,East Asia,15.23,868.3,0.0,0.406,0,41.95,Low
2050,Mongolia,East Asia,16.9,724.9,0.0,0.316,0,38.02,Low
1961,Indonesia,Southeast Asia,27.83,1578.7,0.0,0.861,22,74.24,Moderate
1962,Indonesia,Southeast Asia,24.58,1388.7,0.0,0.633,13,74.55,Moderate
1963,Indonesia,Southeast Asia,25.97,1942.9,0.0,0.95,36,95.0,Moderate
1964,Indonesia,Southeast Asia,26.65,1524.8,0.0,0.792,17,76.18,Moderate
1965,Indonesia,Southeast Asia,27.92,1625.4,0.0,0.657,47,86.54,Moderate
1966,Indonesia,Southeast Asia,30.09,1785.0,0.0,0.702,37,92.13,Moderate
1967,Indonesia,Southeast Asia,26.83,1502.6,0.0,0.779,25,83.81,Moderate
1968,Indonesia,Southeast Asia,25.44,1438.7,0.0,0.759,24,69.18,Moderate
1969,Indonesia,Southeast Asia,27.63,1640.6,0.0,0.985,47,79.45,Moderate
1970,Indonesia,Southeast Asia,28.75,1313.1,0.156,0.669,22,54.74,Moderate
1971,Indonesia,Southeast Asia,27.31,1553.9,0.0,0.843,16,75.12,Moderate
1972,Indonesia,Southeast Asia,26.11,1639.2,0.0,0.804,16,87.75,Moderate
1973,Indonesia,Southeast Asia,28.37,1556.8,0.0,0.802,29,85.64,Moderate
1974,Indonesia,Southeast Asia,28.03,1353.0,0.045,0.81,14,72.51,Moderate
1975,Indonesia,Southeast Asia,26.02,1855.1,0.0,0.758,22,81.99,Moderate
1976,Indonesia,Southeast Asia,27.73,1616.6,0.0,0.841,40,87.33,Moderate
1977,Indonesia,Southeast Asia,28.48,1829.0,0.0,1.0,30,80.42,Moderate
1978,Indonesia,Southeast Asia,28.72,1558.4,0.0,0.802,27,83.31,Moderate
1979,Indonesia,Southeast Asia,27.24,1459.2,0.0,0.862,20,70.75,Moderate
1980,Indonesia,Southeast Asia,26.91,1643.1,0.0,0.771,31,86.37,Moderate
1981,Indonesia,Southeast Asia,28.83,1565.5,0.0,0.78,23,70.28,Moderate
1982,Indonesia,Southeast Asia,25.93,1411.6,0.0,0.708,36,77.6,Moderate
1983,Indonesia,Southeast Asia,27.92,1835.2,0.0,0.74,43,82.97,Moderate
1984,Indonesia,Southeast Asia,25.77,1500.4,0.0,0.657,23,71.01,Moderate
1985,Indonesia,Southeast Asia,28.71,1305.6,0.104,0.565,30,57.2,Moderate
1986,Indonesia,Southeast Asia,27.14,1812.5,0.0,0.972,33,80.1,Moderate
1987,Indonesia,Southeast Asia,28.99,1519.3,0.0,0.829,39,76.53,Moderate
1988,Indonesia,Southeast Asia,28.08,1502.7,0.0,0.777,21,85.97,Moderate
1989,Indonesia,Southeast Asia,26.04,1317.5,0.0,0.725,17,81.88,Moderate
1990,Indonesia,Southeast Asia,29.23,1878.6,0.0,0.926,21,94.51,Moderate
1991,Indonesia,Southeast Asia,29.4,1393.7,0.112,0.793,35,74.14,Moderate
1992,Indonesia,Southeast Asia,28.62,1609.4,0.0,0.805,35,81.86,Moderate
1993,Indonesia,Southeast Asia,26.66,1746.0,0.0,0.878,13,90.29,Moderate
1994,Indonesia,Southeast Asia,27.23,1667.5,0.0,0.812,22,81.32,Moderate
1995,Indonesia,Southeast Asia,27.79,1590.5,0.0,0.85,16,80.69,Moderate
1996,Indonesia,Southeast Asia,26.79,1327.7,0.0,0.63,17,69.61,Moderate
1997,Indonesia,Southeast Asia,29.68,1470.4,0.113,0.813,37,67.78,Moderate
1998,Indonesia,Southeast Asia,27.84,1630.0,0.0,0.724,21,81.04,Moderate
1999,Indonesia,Southeast Asia,24.44,1474.1,0.0,0.649,14,73.35,Moderate
2000,Indonesia,Southeast Asia,28.11,1632.5,0.0,0.871,15,86.59,Moderate
2001,Indonesia,Southeast Asia,27.3,1709.1,0.0,0.847,27,79.06,Moderate
2002,Indonesia,Southeast Asia,27.65,1754.0,0.0,0.841,26,87.39,Moderate
2003,Indonesia,Southeast Asia,27.31,1403.8,0.0,0.773,20,81.66,Moderate
2004,Indonesia,Southeast Asia,28.74,1951.5,0.0,0.927,28,95.0,Moderate
2005,Indonesia,Southeast Asia,29.14,1722.8,0.0,0.845,32,94.23,Moderate
2006,Indonesia,Southeast Asia,28.15,1599.7,0.0,0.912,21,80.13,Moderate
2007,Indonesia,Southeast Asia,27.42,1774.3,0.0,1.0,14,90.64,Moderate
2008,Indonesia,Southeast Asia,27.8,1978.5,0.0,1.0,41,95.0,Moderate
2009,Indonesia,Southeast Asia,27.89,1369.8,0.133,0.662,22,75.19,Moderate
2010,Indonesia,Southeast Asia,26.92,1564.0,0.0,0.88,23,66.49,Moderate
2011,Indonesia,Southeast Asia,28.59,1219.5,0.245,0.534,37,48.19,Moderate
2012,Indonesia,Southeast Asia,28.47,1630.8,0.0,0.743,57,89.4,Moderate
2013,Indonesia,Southeast Asia,29.78,1658.5,0.019,0.641,23,80.87,Moderate
2014,Indonesia,Southeast Asia,29.46,1593.7,0.0,0.931,35,75.66,Moderate
2015,Indonesia,Southeast Asia,27.15,1495.3,0.0,0.679,19,67.24,Moderate
2016,Indonesia,Southeast Asia,28.97,1272.1,0.177,0.626,26,56.73,Moderate
2017,Indonesia,Southeast Asia,26.87,1659.8,0.0,0.757,18,74.57,Moderate
2018,Indonesia,Southeast Asia,28.86,1832.9,0.0,0.972,21,95.0,Moderate
2019,Indonesia,Southeast Asia,27.42,1505.4,0.035,0.723,25,74.43,Moderate
2020,Indonesia,Southeast Asia,26.83,1670.4,0.0,0.731,12,83.17,Moderate
2021,Indonesia,Southeast Asia,28.42,1349.1,0.103,0.71,36,68.93,Moderate
2022,Indonesia,Southeast Asia,24.89,1673.2,0.0,0.722,19,89.43,Moderate
2023,Indonesia,Southeast Asia,26.01,1537.1,0.0,0.702,25,82.53,Moderate
2024,Indonesia,Southeast Asia,27.92,1478.0,0.0,0.57,24,80.34,Moderate
2025,Indonesia,Southeast Asia,28.25,1478.3,0.0,0.625,25,70.13,Moderate
2026,Indonesia,Southeast Asia,27.73,1537.0,0.0,0.783,29,75.06,Moderate
2027,Indonesia,Southeast Asia,26.29,1661.2,0.0,0.673,13,87.67,Moderate
2028,Indonesia,Southeast Asia,27.22,1390.1,0.0,0.577,22,66.34,Moderate
2029,Indonesia,Southeast Asia,28.69,1536.5,0.0,0.768,23,76.79,Moderate
2030,Indonesia,Southeast Asia,28.94,1593.4,0.052,0.753,23,81.03,Moderate
2031,Indonesia,Southeast Asia,28.24,1424.2,0.129,0.871,11,73.33,Moderate
2032,Indonesia,Southeast Asia,29.67,1887.5,0.0,1.0,43,83.71,Moderate
2033,Indonesia,Southeast Asia,28.77,1463.4,0.005,0.662,24,77.36,Moderate
2034,Indonesia,Southeast Asia,27.42,1492.9,0.0,0.791,35,73.24,Moderate
2035,Indonesia,Southeast Asia,28.0,1443.5,0.018,0.782,36,76.06,Moderate
2036,Indonesia,Southeast Asia,26.67,1887.8,0.0,0.896,13,95.0,Moderate
2037,Indonesia,Southeast Asia,28.24,1688.5,0.0,0.725,20,94.07,Moderate
2038,Indonesia,Southeast Asia,29.72,1450.1,0.077,0.724,53,79.09,Moderate
2039,Indonesia,Southeast Asia,29.23,1777.0,0.027,0.875,45,95.0,Moderate
2040,Indonesia,Southeast Asia,30.1,1632.1,0.0,0.781,34,90.27,Moderate
2041,Indonesia,Southeast Asia,28.08,1641.2,0.0,0.856,30,83.81,Moderate
2042,Indonesia,Southeast Asia,30.07,1544.9,0.0,0.712,29,77.44,Moderate
2043,Indonesia,Southeast Asia,28.24,1480.1,0.0,0.648,32,79.24,Moderate
2044,Indonesia,Southeast Asia,30.26,1654.0,0.0,0.836,29,87.09,Moderate
2045,Indonesia,Southeast Asia,28.49,1512.8,0.0,0.787,13,73.78,Moderate
2046,Indonesia,Southeast Asia,29.38,1890.7,0.0,0.851,21,95.0,Moderate
2047,Indonesia,Southeast Asia,30.32,1396.9,0.042,0.773,35,68.8,Moderate
2048,Indonesia,Southeast Asia,28.33,1845.8,0.0,0.781,19,87.17,Moderate
2049,Indonesia,Southeast Asia,28.85,1582.2,0.0,0.745,29,86.85,Moderate
2050,Indonesia,Southeast Asia,30.15,1647.9,0.0,0.803,25,82.72,Moderate
1961,Vietnam,Southeast Asia,29.46,1443.3,0.053,0.485,39,76.79,Moderate
1962,Vietnam,Southeast Asia,25.07,1626.1,0.0,0.762,22,79.47,Moderate
1963,Vietnam,Southeast Asia,26.37,1810.3,0.0,0.855,20,83.09,Moderate
1964,Vietnam,Southeast Asia,27.09,1448.2,0.0,0.646,18,80.06,Moderate
1965,Vietnam,Southeast Asia,28.44,1769.8,0.0,0.895,27,87.92,Moderate
1966,Vietnam,Southeast Asia,27.57,1530.7,0.0,0.732,29,86.91,Moderate
1967,Vietnam,Southeast Asia,27.48,1880.5,0.0,0.874,23,80.55,Moderate
1968,Vietnam,Southeast Asia,25.77,1541.6,0.0,0.686,23,78.25,Moderate
1969,Vietnam,Southeast Asia,25.76,1465.5,0.0,0.676,24,84.79,Moderate
1970,Vietnam,Southeast Asia,27.55,1710.0,0.0,0.945,33,83.38,Moderate
1971,Vietnam,Southeast Asia,25.54,1530.3,0.0,0.712,30,75.16,Moderate
1972,Vietnam,Southeast Asia,26.56,1465.4,0.0,0.691,24,75.04,Moderate
1973,Vietnam,Southeast Asia,27.82,1523.5,0.0,0.725,16,72.82,Moderate
1974,Vietnam,Southeast Asia,26.06,1592.9,0.0,0.824,19,77.77,Moderate
1975,Vietnam,Southeast Asia,29.18,1814.7,0.0,0.944,31,88.71,Moderate
1976,Vietnam,Southeast Asia,28.74,1290.5,0.16,0.402,15,57.56,Moderate
1977,Vietnam,Southeast Asia,25.4,1603.7,0.0,0.884,31,87.56,Moderate
